Date,Open,High,Low,Close
01/18/2022,662.83,662.83,662.83,662.83
01/14/2022,676.44,676.44,676.44,676.44
01/13/2022,666.45,666.45,666.45,666.45
01/12/2022,685.69,685.69,685.69,685.69
01/11/2022,693.63,693.63,693.63,693.63
01/10/2022,674.67,674.67,674.67,674.67
01/07/2022,690.3,690.3,690.3,690.3
01/06/2022,678.9,678.9,678.9,678.9
01/05/2022,664.01,664.01,664.01,664.01
01/04/2022,700.9,700.9,700.9,700.9
01/03/2022,713.86,713.86,713.86,713.86
12/31/2021,709.17,709.17,709.17,709.17
12/30/2021,710.34,710.34,710.34,710.34
12/29/2021,698.06,698.06,698.06,698.06
12/28/2021,702.16,702.16,702.16,702.16
12/27/2021,713.22,713.22,713.22,713.22
12/24/2021,722.08,722.08,722.08,722.08
12/23/2021,722.08,722.08,722.08,722.08
12/22/2021,707.14,707.14,707.14,707.14
12/21/2021,707.17,707.17,707.17,707.17
12/20/2021,657.93,657.93,657.93,657.93
12/17/2021,670.85,670.85,670.85,670.85
12/16/2021,648.36,648.36,648.36,648.36
12/15/2021,665.85,665.85,665.85,665.85
12/14/2021,663.18,663.18,663.18,663.18
12/13/2021,667.36,667.36,667.36,667.36
12/10/2021,690.04,690.04,690.04,690.04
12/09/2021,702.41,702.41,702.41,702.41
12/08/2021,720.96,720.96,720.96,720.96
12/07/2021,700.28,700.28,700.28,700.28
12/06/2021,694.93,694.93,694.93,694.93
12/03/2021,657.07,657.07,657.07,657.07
12/02/2021,683.75,683.75,683.75,683.75
12/01/2021,646.23,646.23,646.23,646.23
11/30/2021,686.25,686.25,686.25,686.25
11/29/2021,706.44,706.44,706.44,706.44
11/26/2021,713.24,713.24,713.24,713.24
11/25/2021,731.54,731.54,731.54,731.54
11/24/2021,731.54,731.54,731.54,731.54
11/23/2021,725.76,725.76,725.76,725.76
11/22/2021,744.42,744.42,744.42,744.42
11/19/2021,733.96,733.96,733.96,733.96
11/18/2021,737.87,737.87,737.87,737.87
11/17/2021,760.54,760.54,760.54,760.54
11/16/2021,775.59,775.59,775.59,775.59
11/15/2021,778.37,778.37,778.37,778.37
11/12/2021,778.99,778.99,778.99,778.99
11/11/2021,775.06,775.06,775.06,775.06
11/10/2021,775.65,775.65,775.65,775.65
11/09/2021,799.54,799.54,799.54,799.54
11/08/2021,812.56,812.56,812.56,812.56
11/05/2021,829.4,829.4,829.4,829.4
11/04/2021,794.7,794.7,794.7,794.7
11/03/2021,844.24,844.24,844.24,844.24
11/02/2021,841.76,841.76,841.76,841.76
11/01/2021,856.06,856.06,856.06,856.06
10/29/2021,822.31,822.31,822.31,822.31
10/28/2021,834.28,834.28,834.28,834.28
10/27/2021,847.1,847.1,847.1,847.1
10/26/2021,851.62,851.62,851.62,851.62
10/25/2021,844.07,844.07,844.07,844.07
10/22/2021,840.24,840.24,840.24,840.24
10/21/2021,855.15,855.15,855.15,855.15
10/20/2021,855.59,855.59,855.59,855.59
10/19/2021,862.13,862.13,862.13,862.13
10/18/2021,858.73,858.73,858.73,858.73
10/15/2021,852.35,852.35,852.35,852.35
10/14/2021,864.14,864.14,864.14,864.14
10/13/2021,858.81,858.81,858.81,858.81
10/12/2021,859.9,859.9,859.9,859.9
10/11/2021,831.55,831.55,831.55,831.55
10/08/2021,825.34,825.34,825.34,825.34
10/07/2021,834.92,834.92,834.92,834.92
10/06/2021,822.69,822.69,822.69,822.69
10/05/2021,828.26,828.26,828.26,828.26
10/04/2021,834.59,834.59,834.59,834.59
10/01/2021,855.77,855.77,855.77,855.77
09/30/2021,814.87,814.87,814.87,814.87
09/29/2021,819.06,819.06,819.06,819.06
09/28/2021,835.57,835.57,835.57,835.57
09/27/2021,846.77,846.77,846.77,846.77
09/24/2021,829.42,829.42,829.42,829.42
09/23/2021,829.15,829.15,829.15,829.15
09/22/2021,812.87,812.87,812.87,812.87
09/21/2021,785.71,785.71,785.71,785.71
09/20/2021,809.1,809.1,809.1,809.1
09/17/2021,826.37,826.37,826.37,826.37
09/16/2021,821.92,821.92,821.92,821.92
09/15/2021,817.41,817.41,817.41,817.41
09/14/2021,827.94,827.94,827.94,827.94
09/13/2021,871.09,871.09,871.09,871.09
09/10/2021,868.45,868.45,868.45,868.45
09/09/2021,888.44,888.44,888.44,888.44
09/08/2021,887.31,887.31,887.31,887.31
09/07/2021,900.16,900.16,900.16,900.16
09/06/2021,868.55,868.55,868.55,868.55
09/03/2021,868.55,868.55,868.55,868.55
09/02/2021,874.33,874.33,874.33,874.33
09/01/2021,867.74,867.74,867.74,867.74
08/31/2021,867.83,867.83,867.83,867.83
08/30/2021,861.51,861.51,861.51,861.51
08/27/2021,871.82,871.82,871.82,871.82
08/26/2021,847.03,847.03,847.03,847.03
08/25/2021,860.38,860.38,860.38,860.38
08/24/2021,833.89,833.89,833.89,833.89
08/23/2021,791.52,791.52,791.52,791.52
08/20/2021,763.41,763.41,763.41,763.41
08/19/2021,753.76,753.76,753.76,753.76
08/18/2021,772.88,772.88,772.88,772.88
08/17/2021,765.09,765.09,765.09,765.09
08/16/2021,785.71,785.71,785.71,785.71
08/13/2021,801.15,801.15,801.15,801.15
08/12/2021,814.02,814.02,814.02,814.02
08/11/2021,805.89,805.89,805.89,805.89
08/10/2021,799.44,799.44,799.44,799.44
08/09/2021,794.07,794.07,794.07,794.07
08/06/2021,799.25,799.25,799.25,799.25
08/05/2021,791.43,791.43,791.43,791.43
08/04/2021,750.02,750.02,750.02,750.02
08/03/2021,757.44,757.44,757.44,757.44
08/02/2021,774.09,774.09,774.09,774.09
07/30/2021,775.67,775.67,775.67,775.67
07/29/2021,788.9,788.9,788.9,788.9
07/28/2021,803.38,803.38,803.38,803.38
07/27/2021,787.53,787.53,787.53,787.53
07/26/2021,807.77,807.77,807.77,807.77
07/23/2021,804.79,804.79,804.79,804.79
07/22/2021,817.82,817.82,817.82,817.82
07/21/2021,831.49,831.49,831.49,831.49
07/20/2021,797.73,797.73,797.73,797.73
07/19/2021,775.35,775.35,775.35,775.35
07/16/2021,782.99,782.99,782.99,782.99
07/15/2021,806.39,806.39,806.39,806.39
07/14/2021,815.91,815.91,815.91,815.91
07/13/2021,835.1,835.1,835.1,835.1
07/12/2021,853.9,853.9,853.9,853.9
07/09/2021,853.51,853.51,853.51,853.51
07/08/2021,834.09,834.09,834.09,834.09
07/07/2021,842.21,842.21,842.21,842.21
07/06/2021,868.37,868.37,868.37,868.37
07/05/2021,893.66,893.66,893.66,893.66
07/02/2021,893.66,893.66,893.66,893.66
07/01/2021,898.34,898.34,898.34,898.34
06/30/2021,892.49,892.49,892.49,892.49
06/29/2021,882.44,882.44,882.44,882.44
06/28/2021,884.81,884.81,884.81,884.81
06/25/2021,901,901,901,901
06/24/2021,895.86,895.86,895.86,895.86
06/23/2021,896.3,896.3,896.3,896.3
06/22/2021,892.85,892.85,892.85,892.85
06/21/2021,890.6,890.6,890.6,890.6
06/18/2021,866.88,866.88,866.88,866.88
06/17/2021,880.25,880.25,880.25,880.25
06/16/2021,886.88,886.88,886.88,886.88
06/15/2021,886.66,886.66,886.66,886.66
06/14/2021,894.67,894.67,894.67,894.67
06/11/2021,918.44,918.44,918.44,918.44
06/10/2021,913.45,913.45,913.45,913.45
06/09/2021,921.25,921.25,921.25,921.25
06/08/2021,933.86,933.86,933.86,933.86
06/07/2021,927.29,927.29,927.29,927.29
06/04/2021,909.44,909.44,909.44,909.44
06/03/2021,907.28,907.28,907.28,907.28
06/02/2021,931.96,931.96,931.96,931.96
06/01/2021,931.35,931.35,931.35,931.35
05/31/2021,919.58,919.58,919.58,919.58
05/28/2021,919.58,919.58,919.58,919.58
05/27/2021,932.12,932.12,932.12,932.12
05/26/2021,924.14,924.14,924.14,924.14
05/25/2021,904.36,904.36,904.36,904.36
05/24/2021,899.77,899.77,899.77,899.77
05/21/2021,871.54,871.54,871.54,871.54
05/20/2021,870.43,870.43,870.43,870.43
05/19/2021,856.3,856.3,856.3,856.3
05/18/2021,864.48,864.48,864.48,864.48
05/17/2021,857.11,857.11,857.11,857.11
05/14/2021,874.07,874.07,874.07,874.07
05/13/2021,833.11,833.11,833.11,833.11
05/12/2021,827.99,827.99,827.99,827.99
05/11/2021,860.89,860.89,860.89,860.89
05/10/2021,873.12,873.12,873.12,873.12
05/07/2021,896.39,896.39,896.39,896.39
05/06/2021,896.43,896.43,896.43,896.43
05/05/2021,944.31,944.31,944.31,944.31
05/04/2021,932.91,932.91,932.91,932.91
05/03/2021,954.33,954.33,954.33,954.33
04/30/2021,950.25,950.25,950.25,950.25
04/29/2021,954.32,954.32,954.32,954.32
04/28/2021,977.41,977.41,977.41,977.41
04/27/2021,969.51,969.51,969.51,969.51
04/26/2021,954.66,954.66,954.66,954.66
04/23/2021,950.99,950.99,950.99,950.99
04/22/2021,935.83,935.83,935.83,935.83
04/21/2021,957.92,957.92,957.92,957.92
04/20/2021,921.08,921.08,921.08,921.08
04/19/2021,939.57,939.57,939.57,939.57
04/16/2021,953.84,953.84,953.84,953.84
04/15/2021,949.48,949.48,949.48,949.48
04/14/2021,962.6,962.6,962.6,962.6
04/13/2021,961.95,961.95,961.95,961.95
04/12/2021,960.5,960.5,960.5,960.5
04/09/2021,985.11,985.11,985.11,985.11
04/08/2021,987.8,987.8,987.8,987.8
04/07/2021,982.44,982.44,982.44,982.44
04/06/2021,"1,004.55","1,004.55","1,004.55","1,004.55"
04/05/2021,988.87,988.87,988.87,988.87
04/02/2021,974.31,974.31,974.31,974.31
04/01/2021,974.31,974.31,974.31,974.31
03/31/2021,948.75,948.75,948.75,948.75
03/30/2021,951.81,951.81,951.81,951.81
03/29/2021,923.76,923.76,923.76,923.76
03/26/2021,962.5,962.5,962.5,962.5
03/25/2021,970.04,970.04,970.04,970.04
03/24/2021,952.65,952.65,952.65,952.65
03/23/2021,971.59,971.59,971.59,971.59
03/22/2021,"1,013.96","1,013.96","1,013.96","1,013.96"
03/19/2021,"1,031.15","1,031.15","1,031.15","1,031.15"
03/18/2021,"1,014.50","1,014.50","1,014.50","1,014.50"
03/17/2021,"1,050.13","1,050.13","1,050.13","1,050.13"
03/16/2021,"1,020.74","1,020.74","1,020.74","1,020.74"
03/15/2021,"1,042.37","1,042.37","1,042.37","1,042.37"
03/12/2021,"1,029.35","1,029.35","1,029.35","1,029.35"
03/11/2021,"1,034.31","1,034.31","1,034.31","1,034.31"
03/10/2021,"1,003.64","1,003.64","1,003.64","1,003.64"
03/09/2021,969.21,969.21,969.21,969.21
03/08/2021,967.86,967.86,967.86,967.86
03/05/2021,956.7,956.7,956.7,956.7
03/04/2021,962.78,962.78,962.78,962.78
03/03/2021,"1,006.32","1,006.32","1,006.32","1,006.32"
03/02/2021,"1,011.80","1,011.80","1,011.80","1,011.80"
03/01/2021,"1,001.97","1,001.97","1,001.97","1,001.97"
02/26/2021,964.81,964.81,964.81,964.81
02/25/2021,938.47,938.47,938.47,938.47
02/24/2021,979.89,979.89,979.89,979.89
02/23/2021,979.16,979.16,979.16,979.16
02/22/2021,946.32,946.32,946.32,946.32
02/19/2021,926.36,926.36,926.36,926.36
02/18/2021,895.11,895.11,895.11,895.11
02/17/2021,899.34,899.34,899.34,899.34
02/16/2021,905.26,905.26,905.26,905.26
02/15/2021,901.98,901.98,901.98,901.98
02/12/2021,901.98,901.98,901.98,901.98
02/11/2021,880.57,880.57,880.57,880.57
02/10/2021,904.12,904.12,904.12,904.12
02/09/2021,891.3,891.3,891.3,891.3
02/08/2021,900.22,900.22,900.22,900.22
02/05/2021,901.45,901.45,901.45,901.45
02/04/2021,864.25,864.25,864.25,864.25
02/03/2021,842.62,842.62,842.62,842.62
02/02/2021,830.16,830.16,830.16,830.16
02/01/2021,783.14,783.14,783.14,783.14
01/29/2021,766.64,766.64,766.64,766.64
01/28/2021,790.21,790.21,790.21,790.21
01/27/2021,770.97,770.97,770.97,770.97
01/26/2021,802.04,802.04,802.04,802.04
01/25/2021,802.74,802.74,802.74,802.74
01/22/2021,823.35,823.35,823.35,823.35
01/21/2021,832.55,832.55,832.55,832.55
01/20/2021,826.78,826.78,826.78,826.78
01/19/2021,811.23,811.23,811.23,811.23
01/18/2021,811.1,811.1,811.1,811.1
01/15/2021,811.1,811.1,811.1,811.1
01/14/2021,831.08,831.08,831.08,831.08
01/14/2021,831.08,831.08,831.08,831.08
01/13/2021,823.37,823.37,823.37,823.37
