Date,Change %
"Jan 20, 2022",-0.07 %
"Jan 19, 2022",-0.18 %
"Jan 18, 2022",0.43 %
"Jan 17, 2022",0.12 %
"Jan 14, 2022",0.26 %
"Jan 13, 2022",0.24 %
"Jan 12, 2022",-0.02 %
"Jan 11, 2022",-0.31 %
"Jan 10, 2022",-0.34 %
"Jan 07, 2022",-0.15 %
"Jan 06, 2022",0.13 %
"Jan 05, 2022",-0.30 %
"Jan 04, 2022",0.17 %
"Jan 03, 2022",-0.13 %
"Dec 31, 2021",0.09 %
"Dec 30, 2021",-0.21 %
"Dec 29, 2021",-0.19 %
"Dec 28, 2021",-0.35 %
"Dec 27, 2021",-0.02 %
"Dec 24, 2021",-0.06 %
"Dec 23, 2021",-0.56 %
"Dec 22, 2021",-0.33 %
"Dec 21, 2021",-0.04 %
"Dec 20, 2021",-0.35 %
"Dec 17, 2021",-0.22 %
"Dec 16, 2021",-0.24 %
"Dec 15, 2021",0.39 %
"Dec 14, 2021",0.37 %
"Dec 13, 2021",0.09 %
"Dec 10, 2021",0.14 %
"Dec 09, 2021",0.30 %
"Dec 08, 2021",-0.04 %
"Dec 07, 2021",0.00 %
"Dec 06, 2021",0.22 %
"Dec 03, 2021",0.34 %
"Dec 02, 2021",-0.04 %
"Dec 01, 2021",-0.11 %
"Nov 30, 2021",0.08 %
"Nov 29, 2021",-0.01 %
"Nov 26, 2021",0.76 %
"Nov 25, 2021",-0.17 %
"Nov 24, 2021",0.24 %
"Nov 23, 2021",0.00 %
"Nov 22, 2021",0.13 %
"Nov 19, 2021",0.23 %
"Nov 18, 2021",-0.11 %
"Nov 17, 2021",-0.29 %
"Nov 16, 2021",0.10 %
"Nov 15, 2021",0.04 %
"Nov 12, 2021",0.06 %
"Nov 11, 2021",-0.14 %
"Nov 10, 2021",0.31 %
"Nov 09, 2021",0.36 %
"Nov 08, 2021",-0.36 %
"Nov 05, 2021",-0.49 %
"Nov 04, 2021",0.13 %
"Nov 03, 2021",-0.33 %
"Nov 02, 2021",-0.19 %
"Nov 01, 2021",-0.11 %
"Oct 29, 2021",0.18 %
"Oct 28, 2021",-0.37 %
"Oct 27, 2021",0.17 %
"Oct 26, 2021",-0.11 %
"Oct 25, 2021",0.03 %
"Oct 22, 2021",0.17 %
"Oct 21, 2021",0.11 %
"Oct 20, 2021",-0.41 %
"Oct 19, 2021",-0.12 %
"Oct 18, 2021",0.24 %
"Oct 15, 2021",0.05 %
"Oct 14, 2021",-0.41 %
"Oct 13, 2021",-0.24 %
"Oct 12, 2021",0.11 %
"Oct 11, 2021",0.36 %
"Oct 08, 2021",0.41 %
"Oct 07, 2021",0.06 %
"Oct 06, 2021",0.29 %
"Oct 05, 2021",-0.04 %
"Oct 04, 2021",0.59 %
"Oct 01, 2021",-0.05 %
"Sep 30, 2021",-0.15 %
"Sep 29, 2021",0.12 %
"Sep 28, 2021",0.50 %
"Sep 27, 2021",0.01 %
"Sep 24, 2021",0.02 %
"Sep 23, 2021",0.00 %
"Sep 22, 2021",0.08 %
"Sep 21, 2021",0.13 %
"Sep 20, 2021",0.01 %
"Sep 17, 2021",0.10 %
"Sep 16, 2021",0.18 %
"Sep 15, 2021",-0.27 %
"Sep 14, 2021",0.11 %
"Sep 13, 2021",0.06 %
"Sep 10, 2021",0.00 %
"Sep 09, 2021",-0.34 %
"Sep 08, 2021",0.45 %
"Sep 07, 2021",0.50 %
"Sep 06, 2021",0.12 %
"Sep 03, 2021",-0.02 %
"Sep 02, 2021",0.00 %
"Sep 01, 2021",0.06 %
"Aug 31, 2021",-0.47 %
"Aug 30, 2021",-0.24 %
"Aug 27, 2021",-0.92 %
"Aug 26, 2021",0.05 %
"Aug 25, 2021",-0.03 %
"Aug 24, 2021",0.02 %
"Aug 23, 2021",-0.31 %
"Aug 20, 2021",-0.03 %
"Aug 19, 2021",0.12 %
"Aug 18, 2021",-0.12 %
"Aug 17, 2021",0.28 %
"Aug 16, 2021",-0.11 %
"Aug 13, 2021",-0.10 %
"Aug 12, 2021",0.08 %
"Aug 11, 2021",-0.24 %
"Aug 10, 2021",-0.07 %
"Aug 09, 2021",0.32 %
"Aug 06, 2021",0.19 %
"Aug 05, 2021",-0.07 %
"Aug 04, 2021",-0.13 %
"Aug 03, 2021",-0.14 %
"Aug 02, 2021",0.02 %
"Jul 30, 2021",0.12 %
"Jul 29, 2021",-0.33 %
"Jul 28, 2021",-0.01 %
"Jul 27, 2021",0.23 %
"Jul 26, 2021",-0.13 %
"Jul 23, 2021",-0.03 %
"Jul 22, 2021",-0.05 %
"Jul 21, 2021",-0.06 %
"Jul 20, 2021",-0.43 %
"Jul 19, 2021",0.33 %
"Jul 16, 2021",0.09 %
"Jul 15, 2021",0.11 %
"Jul 14, 2021",-0.17 %
"Jul 13, 2021",0.08 %
"Jul 12, 2021",0.06 %
"Jul 09, 2021",-0.33 %
"Jul 08, 2021",-0.08 %
"Jul 07, 2021",0.28 %
"Jul 06, 2021",0.40 %
"Jul 05, 2021",-0.30 %
"Jul 02, 2021",-0.06 %
"Jul 01, 2021",0.27 %
"Jun 30, 2021",0.09 %
"Jun 29, 2021",0.03 %
"Jun 28, 2021",0.08 %
"Jun 25, 2021",0.04 %
"Jun 24, 2021",0.05 %
"Jun 23, 2021",-0.26 %
"Jun 22, 2021",0.27 %
"Jun 21, 2021",0.04 %
"Jun 18, 2021",-0.08 %
"Jun 17, 2021",1.22 %
"Jun 16, 2021",-0.11 %
"Jun 15, 2021",0.23 %
"Jun 14, 2021",-0.08 %
"Jun 11, 2021",0.23 %
"Jun 10, 2021",0.12 %
"Jun 09, 2021",0.04 %
"Jun 08, 2021",0.23 %
"Jun 07, 2021",-0.10 %
"Jun 04, 2021",-0.25 %
"Jun 03, 2021",0.12 %
"Jun 02, 2021",0.12 %
"Jun 01, 2021",0.48 %
"May 31, 2021",0.15 %
"May 28, 2021",-0.41 %
"May 27, 2021",-0.03 %
"May 26, 2021",-0.10 %
"May 25, 2021",-0.05 %
"May 24, 2021",0.02 %
"May 21, 2021",-0.26 %
"May 20, 2021",-0.27 %
"May 19, 2021",0.22 %
"May 18, 2021",-0.38 %
"May 17, 2021",0.05 %
"May 14, 2021",-0.24 %
"May 13, 2021",-0.08 %
"May 12, 2021",0.22 %
"May 11, 2021",-0.11 %
"May 10, 2021",0.27 %
"May 07, 2021",-0.47 %
"May 06, 2021",-0.27 %
"May 05, 2021",0.05 %
"May 04, 2021",-0.07 %
"May 03, 2021",-0.32 %
"Apr 30, 2021",-0.05 %
"Apr 29, 2021",-0.54 %
"Apr 28, 2021",-0.12 %
"Apr 27, 2021",-0.20 %
"Apr 26, 2021",-0.25 %
"Apr 23, 2021",-0.25 %
"Apr 22, 2021",-0.41 %
"Apr 21, 2021",0.05 %
"Apr 20, 2021",0.71 %
"Apr 19, 2021",0.43 %
"Apr 16, 2021",-0.25 %
"Apr 15, 2021",-0.44 %
"Apr 14, 2021",-0.28 %
"Apr 13, 2021",0.37 %
"Apr 12, 2021",0.35 %
"Apr 09, 2021",0.20 %
"Apr 08, 2021",0.30 %
"Apr 07, 2021",1.18 %
"Apr 06, 2021",0.26 %
"Apr 05, 2021",-0.10 %
"Apr 02, 2021",0.06 %
"Apr 01, 2021",0.25 %
"Mar 31, 2021",-0.41 %
"Mar 30, 2021",0.95 %
"Mar 29, 2021",0.19 %
"Mar 26, 2021",-0.07 %
"Mar 25, 2021",0.10 %
"Mar 24, 2021",0.06 %
"Mar 23, 2021",0.25 %
"Mar 22, 2021",-0.04 %
"Mar 19, 2021",-0.40 %
"Mar 18, 2021",0.18 %
"Mar 17, 2021",0.06 %
"Mar 16, 2021",-0.03 %
"Mar 15, 2021",-0.21 %
"Mar 12, 2021",-0.01 %
"Mar 11, 2021",-0.04 %
"Mar 10, 2021",-0.06 %
"Mar 09, 2021",-0.80 %
"Mar 08, 2021",0.23 %
"Mar 05, 2021",0.61 %
"Mar 04, 2021",-0.27 %
"Mar 03, 2021",-0.44 %
"Mar 02, 2021",-0.20 %
"Mar 01, 2021",-0.71 %
"Feb 26, 2021",1.63 %
"Feb 25, 2021",0.49 %
"Feb 24, 2021",0.00 %
"Feb 23, 2021",-0.08 %
"Feb 22, 2021",-0.15 %
"Feb 19, 2021",-0.04 %
"Feb 18, 2021",-0.32 %
"Feb 17, 2021",-0.06 %
"Feb 16, 2021",0.33 %
"Feb 15, 2021",0.05 %
"Feb 12, 2021",-0.17 %
"Feb 11, 2021",-0.12 %
"Feb 10, 2021",-0.09 %
"Feb 09, 2021",-0.10 %
"Feb 08, 2021",0.16 %
"Feb 05, 2021",-0.19 %
"Feb 04, 2021",0.19 %
"Feb 03, 2021",-0.12 %
"Feb 02, 2021",-0.29 %
"Feb 01, 2021",0.32 %
"Jan 29, 2021",-0.07 %
"Jan 28, 2021",-0.18 %
"Jan 27, 2021",0.21 %
"Jan 26, 2021",-0.07 %
"Jan 25, 2021",-0.03 %
"Jan 22, 2021",0.03 %
"Jan 21, 2021",0.07 %
"Jan 20, 2021",-0.38 %
"Jan 19, 2021",0.01 %
"Jan 18, 2021",0.08 %
"Jan 15, 2021",0.07 %
"Jan 14, 2021",-0.12 %
"Jan 13, 2021",-0.08 %
"Jan 12, 2021",-0.32 %
"Jan 11, 2021",0.17 %
"Jan 08, 2021",-0.12 %
"Jan 07, 2021",0.41 %
"Jan 06, 2021",0.00 %
"Jan 05, 2021",0.07 %
"Jan 04, 2021",-0.07 %
"Jan 01, 2021",0.11 %
"Dec 31, 2020",-0.12 %
"Dec 30, 2020",-0.36 %
"Dec 29, 2020",-0.21 %
"Dec 28, 2020",0.01 %
"Dec 24, 2020",-0.31 %
"Dec 23, 2020",-0.11 %
"Dec 22, 2020",-0.24 %
"Dec 21, 2020",0.62 %
"Dec 18, 2020",0.07 %
"Dec 17, 2020",-0.15 %
"Dec 16, 2020",0.10 %
"Dec 15, 2020",-0.10 %
"Dec 14, 2020",-0.14 %
"Dec 11, 2020",-0.01 %
"Dec 10, 2020",0.03 %
"Dec 09, 2020",0.00 %
"Dec 08, 2020",-0.05 %
"Dec 07, 2020",0.00 %
"Dec 04, 2020",-0.14 %
"Dec 03, 2020",0.14 %
"Dec 02, 2020",0.38 %
"Dec 01, 2020",-0.69 %
"Nov 30, 2020",0.08 %
"Nov 27, 2020",0.14 %
"Nov 26, 2020",0.09 %
"Nov 25, 2020",-0.42 %
"Nov 24, 2020",-0.23 %
"Nov 23, 2020",0.19 %
"Nov 20, 2020",0.01 %
"Nov 19, 2020",-0.01 %
"Nov 18, 2020",-0.48 %
"Nov 17, 2020",0.13 %
"Nov 16, 2020",-0.26 %
"Nov 13, 2020",-0.16 %
"Nov 12, 2020",0.32 %
"Nov 11, 2020",0.21 %
"Nov 10, 2020",0.34 %
"Nov 09, 2020",0.08 %
"Nov 06, 2020",0.09 %
"Nov 05, 2020",-0.61 %
"Nov 04, 2020",-0.33 %
"Nov 03, 2020",0.15 %
"Nov 02, 2020",-0.07 %
"Oct 30, 2020",0.25 %
"Oct 29, 2020",0.26 %
"Oct 28, 2020",0.76 %
"Oct 27, 2020",-0.46 %
"Oct 26, 2020",0.18 %
"Oct 23, 2020",0.23 %
"Oct 22, 2020",0.10 %
"Oct 21, 2020",0.20 %
"Oct 20, 2020",0.12 %
"Oct 19, 2020",-0.13 %
"Oct 16, 2020",0.03 %
"Oct 15, 2020",0.25 %
"Oct 14, 2020",-0.22 %
"Oct 13, 2020",0.05 %
"Oct 12, 2020",0.48 %
"Oct 09, 2020",-0.38 %
"Oct 08, 2020",-0.05 %
"Oct 07, 2020",-0.14 %
"Oct 06, 2020",0.44 %
"Oct 05, 2020",-0.25 %
"Oct 02, 2020",0.13 %
"Oct 01, 2020",-0.50 %
"Sep 30, 2020",-0.26 %
"Sep 29, 2020",0.00 %
"Sep 28, 2020",0.11 %
"Sep 25, 2020",-0.31 %
"Sep 24, 2020",0.45 %
"Sep 23, 2020",0.08 %
"Sep 22, 2020",-0.08 %
"Sep 21, 2020",0.04 %
"Sep 18, 2020",-0.08 %
"Sep 17, 2020",0.10 %
"Sep 16, 2020",-0.10 %
"Sep 15, 2020",0.31 %
"Sep 14, 2020",-0.08 %
"Sep 11, 2020",0.00 %
"Sep 10, 2020",0.18 %
"Sep 09, 2020",-0.60 %
"Sep 08, 2020",0.40 %
"Sep 07, 2020",0.21 %
"Sep 04, 2020",-0.14 %
"Sep 03, 2020",0.17 %
"Sep 02, 2020",0.36 %
"Sep 01, 2020",-0.34 %
"Aug 31, 2020",0.19 %
"Aug 28, 2020",-1.06 %
"Aug 27, 2020",-0.44 %
"Aug 26, 2020",0.02 %
"Aug 25, 2020",0.05 %
"Aug 24, 2020",-1.00 %
"Aug 21, 2020",-0.12 %
"Aug 20, 2020",0.22 %
"Aug 19, 2020",0.37 %
"Aug 18, 2020",-0.23 %
"Aug 17, 2020",-0.17 %
"Aug 14, 2020",0.08 %
"Aug 13, 2020",0.03 %
"Aug 12, 2020",0.24 %
"Aug 11, 2020",-0.35 %
"Aug 10, 2020",-0.19 %
"Aug 07, 2020",0.16 %
"Aug 06, 2020",0.13 %
"Aug 05, 2020",-0.35 %
"Aug 04, 2020",-0.16 %
"Aug 03, 2020",0.35 %
"Jul 31, 2020",0.05 %
"Jul 30, 2020",-0.06 %
"Jul 29, 2020",0.02 %
"Jul 28, 2020",0.16 %
"Jul 27, 2020",0.05 %
"Jul 24, 2020",-0.08 %
"Jul 23, 2020",0.28 %
"Jul 22, 2020",0.09 %
"Jul 21, 2020",-0.28 %
"Jul 20, 2020",-0.19 %
"Jul 17, 2020",-0.38 %
"Jul 16, 2020",0.07 %
"Jul 15, 2020",-0.34 %
"Jul 14, 2020",0.25 %
"Jul 13, 2020",0.00 %
"Jul 10, 2020",0.07 %
"Jul 09, 2020",0.27 %
"Jul 08, 2020",0.18 %
"Jul 07, 2020",0.23 %
"Jul 06, 2020",-0.01 %
"Jul 03, 2020",-0.14 %
"Jul 02, 2020",-0.98 %
"Jul 01, 2020",-0.08 %
"Jun 30, 2020",0.05 %
"Jun 29, 2020",-0.15 %
"Jun 26, 2020",0.03 %
"Jun 25, 2020",-0.09 %
"Jun 24, 2020",0.22 %
"Jun 23, 2020",-0.39 %
"Jun 22, 2020",-0.62 %
"Jun 19, 2020",-0.18 %
"Jun 18, 2020",0.14 %
"Jun 17, 2020",0.05 %
"Jun 16, 2020",0.38 %
"Jun 15, 2020",-0.10 %
"Jun 12, 2020",0.08 %
"Jun 11, 2020",0.47 %
"Jun 10, 2020",0.16 %
"Jun 09, 2020",0.15 %
"Jun 08, 2020",-0.24 %
"Jun 05, 2020",0.16 %
"Jun 04, 2020",0.17 %
"Jun 03, 2020",0.29 %
"Jun 02, 2020",-0.54 %
"Jun 01, 2020",-0.12 %
"May 29, 2020",-0.08 %
"May 28, 2020",-0.33 %
"May 27, 2020",0.62 %
"May 26, 2020",-0.60 %
"May 25, 2020",-0.07 %
"May 22, 2020",0.44 %
"May 21, 2020",0.08 %
"May 20, 2020",-0.12 %
"May 19, 2020",-0.07 %
"May 18, 2020",-0.17 %
"May 15, 2020",0.45 %
"May 14, 2020",0.16 %
"May 13, 2020",0.43 %
"May 12, 2020",-1.09 %
"May 11, 2020",0.46 %
"May 08, 2020",-0.36 %
"May 07, 2020",-0.39 %
"May 06, 2020",0.52 %
"May 05, 2020",0.08 %
"May 04, 2020",-0.15 %
"May 01, 2020",0.89 %
"Apr 30, 2020",-0.50 %
"Apr 29, 2020",-0.80 %
"Apr 28, 2020",-0.22 %
"Apr 27, 2020",-0.04 %
"Apr 24, 2020",0.49 %
"Apr 23, 2020",-0.67 %
"Apr 22, 2020",-0.74 %
"Apr 21, 2020",0.52 %
"Apr 20, 2020",0.04 %
"Apr 17, 2020",-0.33 %
"Apr 16, 2020",0.30 %
"Apr 15, 2020",0.72 %
"Apr 14, 2020",-0.31 %
"Apr 13, 2020",0.50 %
"Apr 10, 2020",-0.56 %
"Apr 09, 2020",0.48 %
"Apr 08, 2020",0.41 %
"Apr 07, 2020",-0.45 %
"Apr 06, 2020",-0.36 %
"Apr 03, 2020",-0.21 %
"Apr 02, 2020",-0.01 %
"Apr 01, 2020",1.42 %
"Mar 31, 2020",-0.08 %
"Mar 30, 2020",-0.10 %
"Mar 27, 2020",0.78 %
"Mar 26, 2020",-1.93 %
"Mar 25, 2020",-0.01 %
"Mar 24, 2020",0.06 %
"Mar 23, 2020",1.23 %
"Mar 20, 2020",0.82 %
"Mar 19, 2020",0.32 %
"Mar 18, 2020",0.66 %
"Mar 17, 2020",0.09 %
"Mar 16, 2020",0.21 %
"Mar 13, 2020",-0.98 %
"Mar 12, 2020",1.21 %
"Mar 11, 2020",-0.63 %
"Mar 10, 2020",-0.06 %
"Mar 09, 2020",0.26 %
"Mar 06, 2020",0.68 %
"Mar 05, 2020",-0.04 %
"Mar 04, 2020",0.68 %
"Mar 03, 2020",0.21 %
"Mar 02, 2020",0.47 %
"Feb 28, 2020",1.23 %
"Feb 27, 2020",0.10 %
"Feb 26, 2020",-0.32 %
"Feb 25, 2020",-0.15 %
"Feb 24, 2020",0.07 %
"Feb 21, 2020",0.28 %
"Feb 20, 2020",0.11 %
"Feb 19, 2020",0.03 %
"Feb 18, 2020",0.35 %
"Feb 17, 2020",-0.29 %
"Feb 14, 2020",0.29 %
"Feb 13, 2020",0.04 %
"Feb 12, 2020",0.01 %
"Feb 11, 2020",0.00 %
"Feb 10, 2020",-0.31 %
"Feb 07, 2020",0.39 %
"Feb 06, 2020",0.06 %
"Feb 05, 2020",0.10 %
"Feb 04, 2020",-0.30 %
"Feb 03, 2020",-0.31 %
"Jan 31, 2020",0.00 %
"Jan 30, 2020",0.34 %
"Jan 29, 2020",0.15 %
"Jan 28, 2020",-0.35 %
"Jan 27, 2020",0.17 %
"Jan 24, 2020",-0.10 %
"Jan 23, 2020",0.45 %
"Jan 22, 2020",-0.13 %
"Jan 21, 2020",0.18 %
"Jan 20, 2020",-0.06 %
"Jan 17, 2020",0.17 %
"Jan 16, 2020",0.34 %
"Jan 15, 2020",-0.18 %
"Jan 14, 2020",0.20 %
"Jan 13, 2020",-0.35 %
"Jan 10, 2020",-0.35 %
"Jan 09, 2020",-0.43 %
"Jan 08, 2020",-0.46 %
"Jan 07, 2020",-0.03 %
"Jan 06, 2020",0.14 %
"Jan 03, 2020",0.59 %
"Jan 02, 2020",0.16 %
"Jan 01, 2020",-0.18 %
