Date,Change %
"Jan 20, 2022",-0.14 %
"Jan 19, 2022",0.16 %
"Jan 18, 2022",0.09 %
"Jan 17, 2022",0.03 %
"Jan 14, 2022",0.10 %
"Jan 13, 2022",0.06 %
"Jan 12, 2022",0.02 %
"Jan 11, 2022",-0.19 %
"Jan 05, 2022",0.10 %
"Dec 31, 2021",-0.47 %
"Dec 30, 2021",0.33 %
"Dec 29, 2021",0.30 %
"Dec 28, 2021",0.12 %
"Dec 27, 2021",0.13 %
"Dec 24, 2021",-0.46 %
"Dec 23, 2021",-0.35 %
"Dec 22, 2021",-0.15 %
"Dec 21, 2021",-0.30 %
"Dec 20, 2021",0.23 %
"Dec 15, 2021",0.11 %
"Dec 14, 2021",0.25 %
"Dec 13, 2021",0.08 %
"Dec 10, 2021",-0.02 %
"Dec 09, 2021",-0.17 %
"Dec 08, 2021",-0.09 %
"Dec 07, 2021",-0.27 %
"Dec 06, 2021",-0.03 %
"Dec 03, 2021",0.11 %
"Dec 02, 2021",0.38 %
"Dec 01, 2021",-0.83 %
"Nov 30, 2021",0.55 %
"Nov 29, 2021",0.33 %
"Nov 26, 2021",0.81 %
"Nov 25, 2021",-0.09 %
"Nov 24, 2021",-0.21 %
"Nov 23, 2021",0.06 %
"Nov 22, 2021",0.08 %
"Nov 19, 2021",0.03 %
"Nov 18, 2021",0.03 %
"Nov 17, 2021",0.27 %
"Nov 16, 2021",0.26 %
"Nov 15, 2021",-0.06 %
"Nov 12, 2021",0.33 %
"Nov 11, 2021",0.15 %
"Nov 10, 2021",-0.08 %
"Nov 09, 2021",0.00 %
"Nov 08, 2021",-0.03 %
"Nov 05, 2021",0.02 %
"Nov 04, 2021",0.05 %
"Nov 03, 2021",0.25 %
"Nov 02, 2021",0.13 %
"Nov 01, 2021",0.01 %
"Oct 29, 2021",-0.02 %
"Oct 28, 2021",0.22 %
"Oct 27, 2021",0.21 %
"Oct 26, 2021",0.09 %
"Oct 25, 2021",0.06 %
"Oct 22, 2021",-0.20 %
"Oct 21, 2021",-0.11 %
"Oct 20, 2021",0.15 %
"Oct 19, 2021",0.04 %
"Oct 18, 2021",-0.06 %
"Oct 15, 2021",-0.02 %
"Oct 14, 2021",-0.01 %
"Oct 13, 2021",0.16 %
"Oct 12, 2021",0.31 %
"Oct 11, 2021",-0.29 %
"Oct 08, 2021",-0.05 %
"Oct 07, 2021",0.07 %
"Oct 06, 2021",-0.05 %
"Oct 05, 2021",-0.05 %
"Oct 04, 2021",-0.22 %
"Oct 01, 2021",0.09 %
"Sep 30, 2021",0.15 %
"Sep 29, 2021",0.16 %
"Sep 28, 2021",0.05 %
"Sep 27, 2021",-0.24 %
"Sep 24, 2021",0.05 %
"Sep 23, 2021",-0.12 %
"Sep 22, 2021",-0.16 %
"Sep 21, 2021",-0.12 %
"Sep 20, 2021",0.40 %
"Sep 17, 2021",-0.04 %
"Sep 16, 2021",-0.15 %
"Sep 15, 2021",-0.05 %
"Sep 14, 2021",-0.01 %
"Sep 13, 2021",0.01 %
"Sep 10, 2021",-0.05 %
"Sep 09, 2021",0.08 %
"Sep 08, 2021",-0.07 %
"Sep 07, 2021",0.24 %
"Sep 06, 2021",0.03 %
"Sep 03, 2021",0.05 %
"Sep 02, 2021",-0.24 %
"Sep 01, 2021",-0.03 %
"Aug 31, 2021",-0.27 %
"Aug 27, 2021",0.15 %
"Aug 26, 2021",0.15 %
"Aug 25, 2021",0.41 %
"Aug 24, 2021",-0.27 %
"Aug 23, 2021",-0.49 %
"Aug 20, 2021",0.12 %
"Aug 19, 2021",0.28 %
"Aug 18, 2021",0.16 %
"Aug 17, 2021",-0.06 %
"Aug 16, 2021",0.14 %
"Aug 13, 2021",0.00 %
"Aug 12, 2021",-0.26 %
"Aug 11, 2021",0.00 %
"Aug 10, 2021",-0.20 %
"Aug 09, 2021",0.50 %
"Aug 06, 2021",-0.21 %
"Aug 05, 2021",0.32 %
"Aug 04, 2021",-0.04 %
"Aug 03, 2021",-0.06 %
"Aug 02, 2021",-0.19 %
"Jul 30, 2021",-0.01 %
"Jul 29, 2021",-0.04 %
"Jul 28, 2021",0.07 %
"Jul 27, 2021",-0.19 %
"Jul 26, 2021",0.02 %
"Jul 23, 2021",-0.04 %
"Jul 22, 2021",-0.35 %
"Jul 21, 2021",-0.16 %
"Jul 19, 2021",0.35 %
"Jul 16, 2021",0.19 %
"Jul 15, 2021",-0.19 %
"Jul 14, 2021",-0.18 %
"Jul 13, 2021",-0.30 %
"Jul 12, 2021",0.00 %
"Jul 09, 2021",-0.49 %
"Jul 08, 2021",0.63 %
"Jul 07, 2021",0.39 %
"Jul 03, 2021",-0.01 %
"Jul 02, 2021",-0.15 %
"Jul 01, 2021",0.00 %
"Jun 30, 2021",-0.48 %
"Jun 29, 2021",0.61 %
"Jun 28, 2021",-0.05 %
"Jun 25, 2021",-0.25 %
"Jun 24, 2021",0.04 %
"Jun 23, 2021",0.09 %
"Jun 22, 2021",-0.11 %
"Jun 21, 2021",-0.01 %
"Jun 18, 2021",0.04 %
"Jun 17, 2021",0.32 %
"Jun 16, 2021",-0.14 %
"Jun 15, 2021",-0.07 %
"Jun 14, 2021",0.08 %
"Jun 11, 2021",-0.08 %
"Jun 10, 2021",0.07 %
"Jun 09, 2021",-0.09 %
"Jun 08, 2021",0.07 %
"Jun 07, 2021",-0.07 %
"Jun 04, 2021",-0.09 %
"Jun 03, 2021",-0.17 %
"Jun 02, 2021",0.18 %
"Jun 01, 2021",-0.08 %
"May 31, 2021",-0.06 %
