Date,Change %
"Jan 20, 2022",-0.13 %
"Jan 19, 2022",-0.14 %
"Jan 18, 2022",0.73 %
"Jan 17, 2022",0.07 %
"Jan 14, 2022",0.35 %
"Jan 13, 2022",-0.11 %
"Jan 12, 2022",-0.67 %
"Jan 11, 2022",-0.38 %
"Jan 10, 2022",0.31 %
"Jan 07, 2022",-0.51 %
"Jan 06, 2022",0.05 %
"Jan 05, 2022",-0.26 %
"Jan 04, 2022",0.07 %
"Jan 03, 2022",0.68 %
"Dec 31, 2021",-0.44 %
"Dec 30, 2021",0.19 %
"Dec 29, 2021",-0.37 %
"Dec 28, 2021",0.19 %
"Dec 27, 2021",-0.06 %
"Dec 24, 2021",0.06 %
"Dec 23, 2021",-0.01 %
"Dec 22, 2021",-0.32 %
"Dec 21, 2021",-0.13 %
"Dec 20, 2021",-0.33 %
"Dec 17, 2021",0.82 %
"Dec 16, 2021",-0.34 %
"Dec 15, 2021",-0.29 %
"Dec 14, 2021",0.24 %
"Dec 13, 2021",0.27 %
"Dec 10, 2021",-0.20 %
"Dec 09, 2021",0.42 %
"Dec 08, 2021",-0.57 %
"Dec 07, 2021",0.11 %
"Dec 06, 2021",0.25 %
"Dec 03, 2021",-0.16 %
"Dec 02, 2021",0.20 %
"Dec 01, 2021",0.18 %
"Nov 30, 2021",-0.45 %
"Nov 29, 2021",0.25 %
"Nov 26, 2021",-0.96 %
"Nov 25, 2021",-0.10 %
"Nov 24, 2021",0.46 %
"Nov 23, 2021",-0.15 %
"Nov 22, 2021",0.36 %
"Nov 19, 2021",0.87 %
"Nov 18, 2021",-0.47 %
"Nov 17, 2021",0.02 %
"Nov 16, 2021",0.39 %
"Nov 15, 2021",0.72 %
"Nov 12, 2021",0.10 %
"Nov 11, 2021",0.17 %
"Nov 10, 2021",1.01 %
"Nov 09, 2021",-0.04 %
"Nov 08, 2021",-0.20 %
"Nov 05, 2021",-0.13 %
"Nov 04, 2021",0.52 %
"Nov 03, 2021",-0.29 %
"Nov 02, 2021",0.26 %
"Nov 01, 2021",-0.37 %
"Oct 29, 2021",1.03 %
"Oct 28, 2021",-0.70 %
"Oct 27, 2021",0.07 %
"Oct 26, 2021",0.03 %
"Oct 25, 2021",0.33 %
"Oct 22, 2021",-0.19 %
"Oct 21, 2021",0.27 %
"Oct 20, 2021",-0.22 %
"Oct 19, 2021",-0.23 %
"Oct 18, 2021",-0.08 %
"Oct 15, 2021",-0.03 %
"Oct 14, 2021",0.00 %
"Oct 13, 2021",-0.59 %
"Oct 12, 2021",0.21 %
"Oct 11, 2021",0.20 %
"Oct 08, 2021",-0.16 %
"Oct 07, 2021",0.06 %
"Oct 06, 2021",0.39 %
"Oct 05, 2021",0.00 %
"Oct 04, 2021",-0.04 %
"Oct 01, 2021",-0.17 %
"Sep 30, 2021",0.18 %
"Sep 29, 2021",0.66 %
"Sep 28, 2021",0.13 %
"Sep 27, 2021",0.19 %
"Sep 24, 2021",0.15 %
"Sep 23, 2021",-0.45 %
"Sep 22, 2021",0.37 %
"Sep 21, 2021",0.00 %
"Sep 20, 2021",0.06 %
"Sep 17, 2021",0.30 %
"Sep 16, 2021",0.42 %
"Sep 15, 2021",-0.12 %
"Sep 14, 2021",0.08 %
"Sep 13, 2021",0.08 %
"Sep 10, 2021",0.08 %
"Sep 09, 2021",-0.15 %
"Sep 08, 2021",0.16 %
"Sep 07, 2021",0.32 %
"Sep 06, 2021",0.17 %
"Sep 03, 2021",0.07 %
"Sep 02, 2021",-0.24 %
"Sep 01, 2021",-0.25 %
"Aug 31, 2021",-0.10 %
"Aug 30, 2021",-0.02 %
"Aug 27, 2021",-0.34 %
"Aug 26, 2021",0.29 %
"Aug 25, 2021",-0.16 %
"Aug 24, 2021",-0.07 %
"Aug 23, 2021",-0.52 %
"Aug 20, 2021",-0.14 %
"Aug 19, 2021",0.46 %
"Aug 18, 2021",-0.03 %
"Aug 17, 2021",0.72 %
"Aug 16, 2021",0.28 %
"Aug 13, 2021",-0.56 %
"Aug 12, 2021",0.03 %
"Aug 11, 2021",-0.21 %
"Aug 10, 2021",0.20 %
"Aug 09, 2021",0.21 %
"Aug 06, 2021",0.59 %
"Aug 05, 2021",-0.06 %
"Aug 04, 2021",0.23 %
"Aug 03, 2021",0.01 %
"Aug 02, 2021",0.08 %
"Jul 30, 2021",0.07 %
"Jul 29, 2021",-0.38 %
"Jul 28, 2021",-0.19 %
"Jul 27, 2021",-0.11 %
"Jul 26, 2021",-0.36 %
"Jul 23, 2021",-0.02 %
"Jul 22, 2021",0.17 %
"Jul 21, 2021",-0.12 %
"Jul 20, 2021",0.13 %
"Jul 19, 2021",0.01 %
"Jul 16, 2021",0.05 %
"Jul 15, 2021",0.21 %
"Jul 14, 2021",-0.51 %
"Jul 13, 2021",0.74 %
"Jul 12, 2021",0.14 %
"Jul 09, 2021",-0.26 %
"Jul 08, 2021",-0.45 %
"Jul 07, 2021",0.29 %
"Jul 06, 2021",0.34 %
"Jul 05, 2021",-0.06 %
"Jul 02, 2021",-0.07 %
"Jul 01, 2021",0.06 %
"Jun 30, 2021",0.32 %
"Jun 29, 2021",0.23 %
"Jun 28, 2021",0.08 %
"Jun 25, 2021",0.05 %
"Jun 24, 2021",-0.05 %
"Jun 23, 2021",0.10 %
"Jun 22, 2021",-0.26 %
"Jun 21, 2021",-0.44 %
"Jun 18, 2021",0.44 %
"Jun 17, 2021",0.76 %
"Jun 16, 2021",1.11 %
"Jun 15, 2021",0.00 %
"Jun 14, 2021",-0.05 %
"Jun 11, 2021",0.49 %
"Jun 10, 2021",0.02 %
"Jun 09, 2021",-0.07 %
"Jun 08, 2021",0.14 %
"Jun 07, 2021",-0.18 %
"Jun 04, 2021",-0.32 %
"Jun 03, 2021",0.71 %
"Jun 02, 2021",0.06 %
"Jun 01, 2021",0.15 %
"May 31, 2021",-0.30 %
"May 28, 2021",0.06 %
"May 27, 2021",-0.03 %
"May 26, 2021",0.33 %
"May 25, 2021",-0.32 %
"May 24, 2021",-0.30 %
"May 21, 2021",0.36 %
"May 20, 2021",-0.42 %
"May 19, 2021",0.41 %
"May 18, 2021",-0.59 %
"May 17, 2021",0.00 %
"May 14, 2021",-0.61 %
"May 13, 2021",-0.06 %
"May 12, 2021",0.64 %
"May 11, 2021",-0.14 %
"May 10, 2021",0.30 %
"May 07, 2021",-0.82 %
"May 06, 2021",-0.49 %
"May 05, 2021",0.04 %
"May 04, 2021",0.40 %
"May 03, 2021",-0.29 %
"Apr 30, 2021",0.80 %
"Apr 29, 2021",0.03 %
"Apr 28, 2021",-0.30 %
"Apr 27, 2021",0.07 %
"Apr 26, 2021",0.11 %
"Apr 23, 2021",-0.76 %
"Apr 22, 2021",0.19 %
"Apr 21, 2021",-0.04 %
"Apr 20, 2021",0.06 %
"Apr 19, 2021",-0.47 %
"Apr 16, 2021",-0.13 %
"Apr 15, 2021",0.11 %
"Apr 14, 2021",-0.17 %
"Apr 13, 2021",-0.31 %
"Apr 12, 2021",-0.09 %
"Apr 09, 2021",0.12 %
"Apr 08, 2021",-0.33 %
"Apr 07, 2021",0.13 %
"Apr 06, 2021",-0.51 %
"Apr 05, 2021",-0.53 %
"Apr 02, 2021",0.27 %
"Apr 01, 2021",-0.56 %
"Mar 31, 2021",-0.13 %
"Mar 30, 2021",0.58 %
"Mar 29, 2021",0.82 %
"Mar 26, 2021",-0.26 %
"Mar 25, 2021",0.37 %
"Mar 24, 2021",0.28 %
"Mar 23, 2021",0.70 %
"Mar 22, 2021",-0.16 %
"Mar 19, 2021",0.09 %
"Mar 18, 2021",0.51 %
"Mar 17, 2021",-0.62 %
"Mar 16, 2021",0.24 %
"Mar 15, 2021",0.21 %
"Mar 12, 2021",0.28 %
"Mar 11, 2021",-0.58 %
"Mar 10, 2021",-0.13 %
"Mar 09, 2021",-0.53 %
"Mar 08, 2021",0.67 %
"Mar 05, 2021",0.52 %
"Mar 04, 2021",0.85 %
"Mar 03, 2021",0.24 %
"Mar 02, 2021",-0.31 %
"Mar 01, 2021",0.18 %
"Feb 26, 2021",0.84 %
"Feb 25, 2021",-0.01 %
"Feb 24, 2021",-0.20 %
"Feb 23, 2021",0.05 %
"Feb 22, 2021",-0.32 %
"Feb 19, 2021",-0.21 %
"Feb 18, 2021",-0.43 %
"Feb 17, 2021",0.55 %
"Feb 16, 2021",0.21 %
"Feb 15, 2021",-0.07 %
"Feb 12, 2021",0.06 %
"Feb 11, 2021",-0.08 %
"Feb 10, 2021",0.00 %
"Feb 09, 2021",-0.57 %
"Feb 08, 2021",-0.05 %
"Feb 05, 2021",-0.69 %
"Feb 04, 2021",0.61 %
"Feb 03, 2021",0.21 %
"Feb 02, 2021",-0.02 %
"Feb 01, 2021",0.68 %
"Jan 29, 2021",-0.19 %
"Jan 28, 2021",-0.08 %
"Jan 27, 2021",0.43 %
"Jan 26, 2021",-0.13 %
"Jan 25, 2021",0.21 %
"Jan 22, 2021",0.00 %
"Jan 21, 2021",-0.49 %
"Jan 20, 2021",0.17 %
"Jan 19, 2021",-0.40 %
"Jan 18, 2021",-0.02 %
"Jan 15, 2021",0.65 %
"Jan 14, 2021",0.06 %
"Jan 13, 2021",0.40 %
"Jan 12, 2021",-0.41 %
"Jan 11, 2021",0.57 %
"Jan 08, 2021",0.44 %
"Jan 07, 2021",0.43 %
"Jan 06, 2021",-0.26 %
"Jan 05, 2021",-0.36 %
"Jan 04, 2021",-0.24 %
"Jan 01, 2021",0.08 %
"Dec 31, 2020",0.62 %
"Dec 30, 2020",-0.56 %
"Dec 29, 2020",-0.26 %
"Dec 28, 2020",-0.32 %
"Dec 25, 2020",0.12 %
"Dec 24, 2020",0.02 %
"Dec 23, 2020",-0.12 %
"Dec 22, 2020",0.75 %
"Dec 21, 2020",-0.02 %
"Dec 18, 2020",0.12 %
"Dec 17, 2020",-0.57 %
"Dec 16, 2020",-0.37 %
"Dec 15, 2020",-0.07 %
"Dec 14, 2020",-0.30 %
"Dec 11, 2020",0.23 %
"Dec 10, 2020",-0.42 %
"Dec 09, 2020",0.08 %
"Dec 08, 2020",0.03 %
"Dec 07, 2020",0.14 %
"Dec 04, 2020",0.16 %
"Dec 03, 2020",-0.22 %
"Dec 02, 2020",-0.37 %
"Dec 01, 2020",-1.27 %
"Nov 30, 2020",0.34 %
"Nov 27, 2020",-0.42 %
"Nov 26, 2020",0.05 %
"Nov 25, 2020",-0.19 %
"Nov 24, 2020",-0.46 %
"Nov 23, 2020",0.23 %
"Nov 20, 2020",0.07 %
"Nov 19, 2020",-0.19 %
"Nov 18, 2020",0.08 %
"Nov 17, 2020",-0.07 %
"Nov 16, 2020",-0.07 %
"Nov 13, 2020",-0.23 %
"Nov 12, 2020",-0.21 %
"Nov 11, 2020",0.30 %
"Nov 10, 2020",0.07 %
"Nov 09, 2020",0.43 %
"Nov 06, 2020",-0.36 %
"Nov 05, 2020",-0.88 %
"Nov 04, 2020",-0.05 %
"Nov 03, 2020",-0.65 %
"Nov 02, 2020",0.12 %
"Oct 30, 2020",-0.03 %
"Oct 29, 2020",0.60 %
"Oct 28, 2020",0.42 %
"Oct 27, 2020",0.15 %
"Oct 26, 2020",0.52 %
"Oct 23, 2020",-0.41 %
"Oct 22, 2020",0.31 %
"Oct 21, 2020",-0.33 %
"Oct 20, 2020",-0.46 %
"Oct 19, 2020",-0.44 %
"Oct 16, 2020",-0.08 %
"Oct 15, 2020",0.32 %
"Oct 14, 2020",0.01 %
"Oct 13, 2020",0.63 %
"Oct 12, 2020",0.18 %
"Oct 09, 2020",-0.61 %
"Oct 08, 2020",-0.03 %
"Oct 07, 2020",-0.24 %
"Oct 06, 2020",0.38 %
"Oct 05, 2020",-0.44 %
"Oct 02, 2020",0.14 %
"Oct 01, 2020",-0.17 %
"Sep 30, 2020",0.23 %
"Sep 29, 2020",-0.69 %
"Sep 28, 2020",-0.21 %
"Sep 25, 2020",0.14 %
"Sep 24, 2020",0.07 %
"Sep 23, 2020",0.60 %
"Sep 22, 2020",0.59 %
"Sep 21, 2020",0.62 %
"Sep 18, 2020",0.03 %
"Sep 17, 2020",-0.27 %
"Sep 16, 2020",0.25 %
"Sep 15, 2020",0.23 %
"Sep 14, 2020",-0.19 %
"Sep 11, 2020",-0.32 %
"Sep 10, 2020",-0.05 %
"Sep 09, 2020",-0.21 %
"Sep 08, 2020",0.36 %
"Sep 07, 2020",0.20 %
"Sep 04, 2020",0.24 %
"Sep 03, 2020",0.12 %
"Sep 02, 2020",0.53 %
"Sep 01, 2020",0.26 %
"Aug 31, 2020",-0.30 %
"Aug 28, 2020",-0.74 %
"Aug 27, 2020",0.10 %
"Aug 26, 2020",0.03 %
"Aug 25, 2020",-0.37 %
"Aug 24, 2020",0.04 %
"Aug 21, 2020",0.61 %
"Aug 20, 2020",-0.23 %
"Aug 19, 2020",0.87 %
"Aug 18, 2020",-0.44 %
"Aug 17, 2020",-0.28 %
"Aug 14, 2020",-0.20 %
"Aug 13, 2020",-0.29 %
"Aug 12, 2020",-0.37 %
"Aug 11, 2020",-0.01 %
"Aug 10, 2020",0.31 %
"Aug 07, 2020",0.81 %
"Aug 06, 2020",-0.02 %
"Aug 05, 2020",-0.52 %
"Aug 04, 2020",-0.34 %
"Aug 03, 2020",0.15 %
"Jul 31, 2020",0.63 %
"Jul 30, 2020",-0.56 %
"Jul 29, 2020",-0.61 %
"Jul 28, 2020",0.38 %
"Jul 27, 2020",-0.84 %
"Jul 24, 2020",-0.57 %
"Jul 23, 2020",-0.27 %
"Jul 22, 2020",-0.48 %
"Jul 21, 2020",-0.70 %
"Jul 20, 2020",-0.07 %
"Jul 17, 2020",-0.54 %
"Jul 16, 2020",0.25 %
"Jul 15, 2020",-0.12 %
"Jul 14, 2020",-0.51 %
"Jul 13, 2020",-0.34 %
"Jul 10, 2020",-0.06 %
"Jul 09, 2020",0.36 %
"Jul 08, 2020",-0.45 %
"Jul 07, 2020",0.29 %
"Jul 06, 2020",-0.51 %
"Jul 03, 2020",0.01 %
"Jul 02, 2020",-0.13 %
"Jul 01, 2020",0.00 %
"Jun 30, 2020",-0.05 %
"Jun 29, 2020",-0.17 %
"Jun 26, 2020",0.03 %
"Jun 25, 2020",0.28 %
"Jun 24, 2020",0.47 %
"Jun 23, 2020",-0.45 %
"Jun 22, 2020",-0.68 %
"Jun 19, 2020",0.25 %
"Jun 18, 2020",0.42 %
"Jun 17, 2020",0.22 %
"Jun 16, 2020",0.53 %
"Jun 15, 2020",-0.57 %
"Jun 12, 2020",0.37 %
"Jun 11, 2020",0.73 %
"Jun 10, 2020",-0.25 %
"Jun 09, 2020",-0.30 %
"Jun 08, 2020",-0.30 %
"Jun 05, 2020",0.42 %
"Jun 04, 2020",-0.63 %
"Jun 03, 2020",-0.76 %
"Jun 02, 2020",-0.84 %
"Jun 01, 2020",0.00 %
"May 29, 2020",-0.17 %
"May 28, 2020",-0.65 %
"May 27, 2020",-0.24 %
"May 26, 2020",-0.73 %
"May 25, 2020",0.01 %
"May 22, 2020",0.49 %
"May 21, 2020",0.20 %
"May 20, 2020",-0.44 %
"May 19, 2020",-0.07 %
"May 18, 2020",-0.88 %
"May 15, 2020",-0.15 %
"May 14, 2020",0.24 %
"May 13, 2020",0.37 %
"May 12, 2020",-0.32 %
"May 11, 2020",0.31 %
"May 08, 2020",-0.03 %
"May 07, 2020",-0.30 %
"May 06, 2020",0.39 %
"May 05, 2020",0.52 %
"May 04, 2020",0.52 %
"May 01, 2020",-0.29 %
"Apr 30, 2020",-0.80 %
"Apr 29, 2020",-0.52 %
"Apr 28, 2020",0.14 %
"Apr 27, 2020",-0.01 %
"Apr 24, 2020",-0.48 %
"Apr 23, 2020",0.43 %
"Apr 22, 2020",0.37 %
"Apr 21, 2020",0.13 %
"Apr 20, 2020",0.10 %
"Apr 17, 2020",-0.40 %
"Apr 16, 2020",0.78 %
"Apr 15, 2020",0.65 %
"Apr 14, 2020",-0.62 %
"Apr 13, 2020",0.22 %
"Apr 10, 2020",-0.07 %
"Apr 09, 2020",-0.68 %
"Apr 08, 2020",0.32 %
"Apr 07, 2020",-0.87 %
"Apr 06, 2020",0.12 %
"Apr 03, 2020",0.43 %
"Apr 02, 2020",1.04 %
"Apr 01, 2020",0.60 %
"Mar 31, 2020",0.13 %
"Mar 30, 2020",0.77 %
"Mar 27, 2020",-0.95 %
"Mar 26, 2020",-1.35 %
"Mar 25, 2020",-0.94 %
"Mar 24, 2020",-0.87 %
"Mar 23, 2020",-0.22 %
"Mar 20, 2020",-0.02 %
"Mar 19, 2020",1.73 %
"Mar 18, 2020",1.09 %
"Mar 17, 2020",1.91 %
"Mar 16, 2020",-0.43 %
"Mar 13, 2020",0.74 %
"Mar 12, 2020",0.85 %
"Mar 11, 2020",0.06 %
"Mar 10, 2020",1.44 %
"Mar 09, 2020",-1.05 %
"Mar 06, 2020",-0.52 %
"Mar 05, 2020",-0.80 %
"Mar 04, 2020",0.34 %
"Mar 03, 2020",-0.44 %
